,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
1121,US1MIIS0007,2017-09,43.5786,-84.7072,232.6,"MOUNT PLEASANT 3.8 ESE, MI US",6.0,"5,N",3.0,"5,N",0.0,"5,N",,,,,,,,,20170905.0,",5,N",,,,,5.3,"5,,N,05,",15.3,",a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,US1MIIS0008,2021-09,43.609318,-84.755331,233.2,"MOUNT PLEASANT 1.4 NE, MI US",10.0,"2,N",5.0,"2,N",1.0,"2,N",,,0.0,"2,N",,,20210930.0,"+,2,N",20210913.0,",2,N",,,0.0,"2,,N,30,+",37.3,"2,,N,13,",96.2,",a,,N",0.0,"2,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,US1MIIS0009,2021-11,43.583,-84.784,241.1,"MOUNT PLEASANT 1.0 SSW, MI US",8.0,",N",4.0,",N",0.0,",N",2.0,",N",3.0,",N",20211130.0,",,N",20211130.0,",,N",20211115.0,",,N",51.0,",,N,30,",61.0,",,N,30,",7.6,",,N,15,",25.3,",,,N",127.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,US1MIIS0010,2023-01,43.576,-84.773,244.8,"MOUNT PLEASANT 1.4 S, MI US",17.0,",N",7.0,",N",0.0,",N",6.0,",N",3.0,",N",20230129.0,",,N",20230129.0,",,N",20230104.0,",,N",152.0,",,N,29,",107.0,",,N,29,",16.8,",,N,04,",58.5,",,,N",264.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,US1MIJC0001,2008-07,42.106624,-84.497752,335.0,"HANOVER 2.8 E, MI US",7.0,"3,N",6.0,"3,N",2.0,"3,N",,,0.0,"2,N",,,20080731.0,"+,2,N",20080703.0,",3,N",,,0.0,"2,,N,31,+",85.9,"3,,N,03,",148.5,"3,,,N",0.0,"2,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,US1MIJC0004,2008-09,42.261711,-84.398401,289.3,"JACKSON 1.3 NNE, MI US",9.0,"2,N",9.0,"2,N",4.0,"2,N",,,0.0,"2,N",,,20080930.0,"+,2,N",20080914.0,",2,N",,,0.0,"2,,N,30,+",72.9,"2,,N,14,",264.3,"2,,,N",0.0,"2,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,US1MIJC0005,2008-08,42.228812,-84.456537,302.4,"JACKSON 2.8 WSW, MI US",7.0,"5,N",5.0,"5,N",0.0,"5,N",,,0.0,"5,N",,,20080831.0,"+,5,N",20080823.0,",5,N",,,0.0,"5,,N,31,+",8.1,"5,,N,23,",25.2,"5,,,N",0.0,"5,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,US1MIJC0007,2008-08,42.248449,-84.383023,292.3,"JACKSON 1.2 ENE, MI US",9.0,"3,N",2.0,"3,N",0.0,"3,N",,,0.0,"3,N",,,20080831.0,"+,3,N",20080810.0,",3,N",,,0.0,"3,,N,31,+",12.2,"3,,N,10,",23.4,"3,,,N",0.0,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,US1MIJC0010,2008-08,42.092634,-84.472924,317.9,"HANOVER 4.1 E, MI US",5.0,"1,N",4.0,"1,N",0.0,"1,N",,,0.0,"1,N",,,20080831.0,"+,1,N",20080810.0,",1,N",,,0.0,"1,,N,31,+",9.9,"1,,N,10,",21.9,"1,,,N",0.0,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,US1MIJC0011,2008-08,42.240611,-84.466918,304.2,"JACKSON 3.2 W, MI US",7.0,",N",7.0,",N",0.0,",N",,,0.0,",N",,,20080831.0,"+,,N",20080823.0,",,N",,,0.0,",,N,31,+",10.2,",,N,23,",34.6,",,,N",0.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,US1MIJC0013,2008-09,42.107,-84.626,328.0,"HANOVER 3.8 W, MI US",10.0,",N",8.0,",N",3.0,",N",,,0.0,",N",,,20080930.0,"+,,N",20080914.0,",,N",,,0.0,",,N,30,+",85.3,",,N,14,",245.3,",,,N",0.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,US1MIJC0014,2009-03,42.41127,-84.5276,286.2,"RIVES JUNCTION 4.0 NW, MI US",9.0,",N",7.0,",N",1.0,",N",,,,,,,,,20090308.0,",,N",,,,,26.7,",,N,08,",97.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,US1MIJC0019,2014-05,42.267004,-84.174095,309.1,"GRASS LAKE 2.0 NE, MI US",17.0,"3,N",8.0,"3,N",0.0,"3,N",,,,,,,,,20140521.0,",3,N",,,,,22.1,"3,,N,21,",91.5,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,US1MIJC0022,2017-04,42.205166,-84.416752,294.1,"JACKSON 2.7 SSW, MI US",11.0,"4,N",8.0,"4,N",1.0,"4,N",,,,,,,,,20170406.0,",4,N",,,,,38.9,"4,,N,06,",105.0,"1,a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,US1MIKK0002,2010-02,44.8513,-85.321,180.4,"RAPID CITY 2.2 NW, MI US",12.0,"3,N",6.0,"3,N",0.0,"3,N",,,4.0,"3,N",,,20100213.0,",3,N",20100204.0,"+,3,N",,,56.0,"3,,N,13,",10.2,"3,,N,04,+",42.4,",a,,N",256.0,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,US1MIKN0001,2008-07,42.856934,-85.642552,212.1,"KENTWOOD 3.1 SW, MI US",7.0,",N",6.0,",N",2.0,",N",,,0.0,",N",,,20080731.0,"+,,N",20080703.0,",,N",,,0.0,",,N,31,+",79.5,",,N,03,",142.3,",,,N",0.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,US1MIKN0003,2008-08,42.810786,-85.68516,210.0,"BYRON CENTER 1.9 ESE, MI US",3.0,"3,N",2.0,"3,N",0.0,"3,N",,,0.0,"3,N",,,20080831.0,"+,3,N",20080804.0,",3,N",,,0.0,"3,,N,31,+",5.8,"3,,N,04,",17.5,",a,,N",0.0,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,US1MIKN0004,2008-07,43.08949,-85.5662,249.3,"ROCKFORD 2.6 S, MI US",8.0,"2,N",4.0,"2,N",1.0,"2,N",,,0.0,"2,N",,,20080731.0,"+,2,N",20080703.0,",2,N",,,0.0,"2,,N,31,+",68.6,"2,,N,03,",101.0,"2,,,N",0.0,"2,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,US1MIKN0005,2008-07,42.86181,-85.47993,243.5,"ALTO 5.6 WNW, MI US",6.0,"4,N",4.0,"4,N",2.0,"4,N",,,0.0,"4,N",,,20080731.0,"+,4,N",20080703.0,",4,N",,,0.0,"4,,N,31,+",79.8,"4,,N,03,",146.6,"1,a,,N",0.0,"4,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,US1MIKN0006,2008-07,42.9492,-85.4775,190.2,"ADA 0.7 SE, MI US",8.0,",N",5.0,",N",1.0,",N",,,0.0,",N",,,20080731.0,"+,,N",20080703.0,",,N",,,0.0,",,N,31,+",116.8,",,N,03,",163.1,",,,N",0.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,US1MIKN0008,2008-08,43.0053,-85.641146,212.4,"GRAND RAPIDS 3.1 NNE, MI US",,,,,,,,,0.0,"4,N",,,20080831.0,"+,4,N",,,,,0.0,"4,,N,31,+",,,,,0.0,"4,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,US1MIKN0009,2008-07,42.8067,-85.7267,228.3,"BYRON CENTER 0.4 SW, MI US",8.0,",N",7.0,",N",2.0,",N",,,0.0,",N",,,20080731.0,"+,,N",20080703.0,",,N",,,0.0,",,N,31,+",56.4,",,N,03,",131.6,",,,N",0.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,US1MIKN0010,2008-09,43.144184,-85.718983,257.9,"SPARTA 1.1 SSW, MI US",8.0,"5,N",6.0,"5,N",4.0,"5,N",,,0.0,"5,N",,,20080930.0,"+,5,N",20080905.0,",5,N",,,0.0,"5,,N,30,+",101.1,"5,,N,05,",236.0,"5,,,N",0.0,"5,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,US1MIKN0011,2008-10,42.923687,-85.322221,215.8,"LOWELL 1.4 ESE, MI US",13.0,"1,N",7.0,"1,N",0.0,"1,N",,,0.0,"1,N",,,20081031.0,"+,1,N",20081025.0,",1,N",,,0.0,"1,,N,31,+",18.3,"1,,N,25,",56.9,"1,,,N",0.0,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,US1MIKN0013,2008-08,42.8334,-85.652,211.2,"CUTLERVILLE 0.7 SE, MI US",6.0,",N",3.0,",N",0.0,",N",,,0.0,",N",,,20080831.0,"+,,N",20080807.0,",,N",,,0.0,",,N,31,+",6.1,",,N,07,",19.8,",,,N",0.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,US1MIKN0016,2008-10,42.9697,-85.6075,233.8,"GRAND RAPIDS 2.5 ENE, MI US",14.0,"5,N",8.0,"5,N",0.0,"5,N",,,0.0,"5,N",,,20081031.0,"+,5,N",20081025.0,",5,N",,,0.0,"5,,N,31,+",24.1,"5,,N,25,",85.2,"5,,,N",0.0,"5,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,US1MIKN0017,2009-04,42.817793,-85.452579,227.4,"ALTO 4.5 SW, MI US",13.0,"4,N",8.0,"4,N",2.0,"4,N",,,,,,,,,20090426.0,",4,N",,,,,39.1,"4,,N,26,",122.2,"4,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,US1MIKN0018,2008-07,42.86892,-85.732091,212.1,"WYOMING 2.2 SW, MI US",8.0,",N",6.0,",N",1.0,",N",,,0.0,",N",,,20080731.0,"+,,N",20080708.0,",,N",,,0.0,",,N,31,+",29.5,",,N,08,",67.8,",,,N",0.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,US1MIKN0019,2008-08,42.840301,-85.641208,221.9,"CUTLERVILLE 1.0 E, MI US",6.0,",N",3.0,",N",0.0,",N",,,0.0,",N",,,20080831.0,"+,,N",20080807.0,",,N",,,0.0,",,N,31,+",7.4,",,N,07,",21.1,",,,N",0.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,US1MIKN0027,2008-09,42.914681,-85.649234,200.3,"GRAND RAPIDS 3.2 S, MI US",8.0,"3,N",7.0,"3,N",3.0,"3,N",,,0.0,"3,N",,,20080930.0,"+,3,N",20080905.0,",3,N",,,0.0,"3,,N,30,+",97.5,"3,,N,05,",228.4,"3,,,N",0.0,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,US1MIKN0031,2008-10,42.841573,-85.683517,217.6,"BYRON CENTER 2.9 NE, MI US",12.0,",N",9.0,",N",0.0,",N",,,0.0,",N",,,20081031.0,"+,,N",20081025.0,",,N",,,0.0,",,N,31,+",22.9,",,N,25,",88.6,",,,N",0.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,US1MIKN0032,2013-08,42.991906,-85.694373,194.2,"GRAND RAPIDS 2.9 NW, MI US",11.0,"2,N",7.0,"2,N",0.0,"2,N",,,,,,,,,20130828.0,",2,N",,,,,16.5,"2,,N,28,",47.5,"2,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,US1MIKN0033,2008-08,42.995024,-85.692186,189.3,"GRAND RAPIDS 3.0 NW, MI US",6.0,",N",4.0,",N",0.0,",N",,,0.0,",N",,,20080831.0,"+,,N",20080824.0,",,N",,,0.0,",,N,31,+",7.4,",,N,24,",18.8,",,,N",0.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,US1MIKN0035,2008-08,42.927321,-85.720931,185.9,"WYOMING 2.6 NNW, MI US",5.0,",N",3.0,",N",0.0,",N",,,0.0,",N",,,20080831.0,"+,,N",20080824.0,",,N",,,0.0,",,N,31,+",11.7,",,N,24,",28.5,",,,N",0.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,US1MIKN0039,2008-08,42.898951,-85.697975,209.1,"WYOMING 0.5 NNE, MI US",4.0,",N",3.0,",N",0.0,",N",,,0.0,",N",,,20080831.0,"+,,N",20080824.0,",,N",,,0.0,",,N,31,+",8.4,",,N,24,",23.7,",,,N",0.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,US1MIKN0042,2008-08,43.16158,-85.76498,249.3,"SPARTA 2.8 W, MI US",5.0,",N",3.0,",N",0.0,",N",,,0.0,",N",,,20080831.0,"+,,N",20080824.0,",,N",,,0.0,",,N,31,+",5.8,",,N,24,",13.9,",,,N",0.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,US1MIKN0043,2008-08,42.825262288,-85.589418411,232.3,"CALEDONIA 4.4 WNW, MI US",5.0,",N",4.0,",N",0.0,",N",,,0.0,",N",,,20080831.0,"+,,N",20080823.0,",,N",,,0.0,",,N,31,+",11.2,",,N,23,",32.9,",,,N",0.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,US1MIKN0044,2008-08,43.154751,-85.55992,219.8,"ROCKFORD 2.0 N, MI US",8.0,",N",3.0,",N",0.0,",N",,,0.0,",N",,,20080831.0,"+,,N",20080824.0,",,N",,,0.0,",,N,31,+",9.7,",,N,24,",20.4,",,,N",0.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,US1MIKN0045,2008-08,43.010509,-85.351775,261.2,"LOWELL 5.3 N, MI US",8.0,"4,N",4.0,"4,N",0.0,"4,N",,,0.0,"4,N",,,20080831.0,"+,4,N",20080824.0,",4,N",,,0.0,"4,,N,31,+",21.8,"4,,N,24,",34.2,"4,,,N",0.0,"4,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,US1MIKN0046,2008-08,43.158095,-85.560339,223.1,"ROCKFORD 2.2 N, MI US",8.0,"1,N",3.0,"1,N",0.0,"1,N",,,0.0,"1,N",,,20080831.0,"+,1,N",20080824.0,",1,N",,,0.0,"1,,N,31,+",10.7,"1,,N,24,",22.1,"1,,,N",0.0,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,US1MIKN0048,2008-10,42.874211,-85.622056,227.1,"KENTWOOD 1.6 WSW, MI US",11.0,",N",9.0,",N",0.0,",N",,,0.0,",N",,,20081031.0,"+,,N",20081025.0,",,N",,,0.0,",,N,31,+",22.6,",,N,25,",82.6,",,,N",0.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,US1MIKN0049,2009-01,42.826924,-85.538196,246.3,"CALEDONIA 2.6 NNW, MI US",,,,,,,25.0,"4,N",13.0,"5,N",20090118.0,",4,N",20090118.0,",5,N",,,356.0,"4,,N,18,",140.0,"5,,N,18,",,,,,871.0,"5,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,US1MIKN0051,2009-08,42.8187,-85.7171,219.2,"BYRON CENTER 0.5 NE, MI US",12.0,"5,N",10.0,"5,N",1.0,"5,N",,,,,,,,,20090810.0,",5,N",,,,,55.4,"5,,N,10,",145.7,"5,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,US1MIKN0053,2009-07,42.949178,-85.526282,241.1,"ADA 1.8 W, MI US",8.0,"5,N",2.0,"5,N",0.0,"5,N",,,,,,,,,20090711.0,",5,N",,,,,18.8,"5,,N,11,",33.9,"5,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,US1MIKN0056,2010-08,43.0309985,-85.6126616,220.1,"GRAND RAPIDS 5.5 NNE, MI US",5.0,"1,N",4.0,"1,N",1.0,"1,N",,,,,,,,,20100812.0,",1,N",,,,,31.8,"1,,N,12,",58.3,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,US1MIKN0058,2011-06,43.129389,-85.471106,286.8,"ROCKFORD 4.3 E, MI US",7.0,"3,N",5.0,"3,N",1.0,"3,N",,,,,,,,,20110622.0,",3,N",,,,,32.8,"3,,N,22,",80.1,"1,a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,US1MIKN0060,2012-02,43.09387,-85.642839,239.0,"COMSTOCK PARK 3.7 NNE, MI US",7.0,",N",5.0,",N",0.0,",N",,,3.0,"3,N",,,20120211.0,",3,N",20120229.0,",,N",,,89.0,"3,,N,11,",10.7,",,N,29,",33.3,",,,N",188.0,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,US1MIKN0064,2012-05,42.924707,-85.59942,238.4,"GRAND RAPIDS 3.8 SE, MI US",15.0,"1,N",7.0,"1,N",0.0,"1,N",,,,,,,,,20120521.0,",1,N",,,,,13.0,"1,,N,21,",64.3,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,US1MIKN0065,2012-06,43.07895,-85.6282,239.3,"BELMONT 1.0 WNW, MI US",6.0,",N",4.0,",N",0.0,",N",,,,,,,,,20120619.0,",,N",,,,,18.0,",,N,19,",44.2,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,US1MIKN0068,2013-05,42.8612,-85.5731,231.3,"KENTWOOD 1.8 SSE, MI US",12.0,"5,N",10.0,"5,N",0.0,"5,N",,,,,,,,,20130529.0,",5,N",,,,,22.4,"5,,N,29,",86.8,"5,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,US1MIKN0073,2015-05,42.9651718139648,-85.3499145507813,202.1,"LOWELL 2.2 N, MI US",13.0,"3,N",12.0,"3,N",0.0,"3,N",,,,,,,,,20150531.0,"+,3,N",,,,,21.8,"3,,N,31,+",112.2,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,US1MIKN0075,2016-09,42.9043388366699,-85.4827575683594,227.4,"GRAND RAPIDS 9.6 ESE, MI US",12.0,",N",7.0,",N",0.0,",N",,,,,,,,,20160911.0,",,N",,,,,13.7,",,N,11,",57.5,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,US1MIKN0077,2015-05,43.057961,-85.680295,227.7,"COMSTOCK PARK 1.0 NNW, MI US",17.0,",N",9.0,",N",0.0,",N",,,,,,,,,20150509.0,",,N",,,,,17.8,",,N,09,",85.8,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,US1MIKN0078,2015-05,43.182941,-85.56863,253.9,"CEDAR SPRINGS 2.8 SSW, MI US",15.0,"1,N",11.0,"1,N",0.0,"1,N",,,,,,,,,20150512.0,",1,N",,,,,24.4,"1,,N,12,",117.7,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,US1MIKN0080,2015-08,43.274465,-85.352429,265.5,"SAND LAKE 8.4 E, MI US",11.0,"3,N",7.0,"3,N",0.0,"3,N",,,,,,,,,20150824.0,",3,N",,,,,19.1,"3,,N,24,",50.4,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,US1MIKN0081,2015-09,43.139375,-85.551269,230.1,"ROCKFORD 0.9 NNE, MI US",7.0,"3,N",3.0,"3,N",1.0,"3,N",,,,,,,,,20150919.0,",3,N",,,,,38.1,"3,,N,19,",69.0,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,US1MIKN0083,2016-05,43.09455,-85.467366,265.5,"ROCKFORD 5.0 ESE, MI US",13.0,"3,N",7.0,"3,N",0.0,"3,N",,,,,,,,,20160511.0,",3,N",,,,,18.0,"3,,N,11,",92.3,",a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,US1MIKN0084,2016-08,42.9281463623047,-85.5768508911133,239.6,"GRAND RAPIDS 4.6 ESE, MI US",12.0,"3,N",7.0,"3,N",2.0,"3,N",,,,,,,,,20160813.0,",3,N",,,,,53.6,"3,,N,13,",154.2,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,US1MIKN0086,2016-09,42.891167,-85.60239,234.4,"GRAND RAPIDS 5.5 SSE, MI US",11.0,",N",7.0,",N",0.0,",N",,,,,,,,,20160907.0,",,N",,,,,16.8,",,N,07,",62.5,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,US1MIKN0089,2017-05,42.8536435322658,-85.6528186626176,206.7,"CUTLERVILLE 1.0 NNE, MI US",12.0,",N",8.0,",N",1.0,",N",,,,,,,,,20170501.0,",,N",,,,,59.7,",,N,01,",95.3,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,US1MIKN0092,2017-07,42.85995,-85.57959,224.0,"KENTWOOD 1.7 SSE, MI US",9.0,",N",4.0,",N",0.0,",N",,,,,,,,,20170713.0,",,N",,,,,21.6,",,N,13,",40.7,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,US1MIKN0093,2017-07,42.89531,-85.76006,192.0,"GRANDVILLE 0.6 SSW, MI US",7.0,"2,N",4.0,"2,N",0.0,"2,N",,,,,,,,,20170713.0,",2,N",,,,,12.7,"2,,N,13,",35.3,",a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,US1MIKN0094,2017-08,42.82742,-85.534945,250.9,"CALEDONIA 2.6 NNW, MI US",12.0,"5,N",4.0,"5,N",0.0,"5,N",,,,,,,,,20170817.0,",5,N",,,,,24.4,"5,,N,17,",65.7,",a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,US1MIKN0095,2019-05,43.293778,-85.330454,279.2,"TRUFANT 1.8 SE, MI US",17.0,",N",14.0,",N",2.0,",N",,,,,,,,,20190525.0,",,N",,,,,40.4,",,N,25,",141.9,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,US1MIKN0096,2018-01,42.8855,-85.36715,255.7,"LOWELL 3.5 SSW, MI US",8.0,"4,N",3.0,"4,N",0.0,"4,N",,,,,,,,,20180123.0,",4,N",,,,,22.9,"4,,N,23,",40.1,"4,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,US1MIKN0097,2018-01,42.86135,-85.736878,208.2,"WYOMING 2.8 SW, MI US",15.0,"2,N",3.0,"2,N",0.0,"2,N",,,6.0,"2,N",,,20180116.0,",2,N",20180123.0,",2,N",,,74.0,"2,,N,16,",21.3,"2,,N,23,",53.0,",a,,N",356.0,"2,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,US1MIKN0098,2018-04,42.90735,-85.72862,193.5,"WYOMING 1.7 NW, MI US",6.0,"3,N",4.0,"3,N",0.0,"3,N",,,,,,,,,20180415.0,",3,N",,,,,19.8,"3,,N,15,",60.4,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,US1MIKN0102,2019-09,42.987608,-85.424039,253.3,"LOWELL 5.5 NW, MI US",,,,,,,,,,,,,,,,,,,,,,,184.7,"3,a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,US1MIKN0103,2019-04,43.102378,-85.769234,255.4,"SPARTA 4.9 SW, MI US",,,,,,,,,,,,,,,,,,,,,,,59.8,"2,a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,US1MIKN0106,2020-03,43.0124,-85.3512,245.4,"LOWELL 5.5 N, MI US",,,,,,,,,,,,,,,,,,,,,,,85.6,"3,a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,US1MIKN0108,2020-05,42.93447,-85.35712,197.2,"LOWELL 0.6 W, MI US",11.0,",N",8.0,",N",1.0,",N",,,,,,,,,20200518.0,",,N",,,,,50.8,",,N,18,",125.8,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,US1MIKN0109,2020-05,42.955757,-85.626862,228.0,"EAST GRAND RAPIDS 1.2 WNW, MI US",10.0,"3,N",6.0,"3,N",1.0,"3,N",,,,,,,,,20200518.0,",3,N",,,,,55.4,"3,,N,18,",117.3,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,US1MIKN0111,2020-07,43.031451,-85.633783,217.9,"NORTHVIEW 1.9 WSW, MI US",7.0,"4,N",4.0,"4,N",1.0,"4,N",,,,,,,,,20200710.0,",4,N",,,,,33.3,"4,,N,10,",69.3,"1,a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,US1MIKN0114,2021-05,43.11483,-85.621398,232.0,"COMSTOCK PARK 5.5 NNE, MI US",11.0,"1,N",6.0,"1,N",0.0,"1,N",,,,,,,,,20210526.0,",1,N",,,,,14.0,"1,,N,26,",33.5,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,US1MIKN0116,2022-04,42.931836,-85.616801,241.4,"EAST GRAND RAPIDS 1.1 SSW, MI US",16.0,",N",9.0,",N",1.0,",N",,,,,,,,,20220423.0,",,N",,,,,27.7,",,N,23,",96.1,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,US1MIKN0119,2022-05,42.8449,-85.64498,213.7,"GRAND RAPIDS 8.1 S, MI US",11.0,",N",7.0,",N",1.0,",N",,,,,,,,,20220501.0,",,N",,,,,35.8,",,N,01,",103.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,US1MIKN0121,2022-08,43.16015,-85.7052,232.0,"SPARTA 0.3 NE, MI US",12.0,",N",7.0,",N",2.0,",N",,,,,,,,,20220829.0,",,N",,,,,55.1,",,N,29,",144.6,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,US1MIKN0122,2022-08,43.289581,-85.59551241,275.2,"SAND LAKE 3.9 W, MI US",10.0,"3,N",5.0,"3,N",3.0,"3,N",,,,,,,,,20220829.0,",3,N",,,,,48.0,"3,,N,29,",135.8,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
