,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES
970,ASN00007130,1899-01,-26.0747,116.6942,500.0,"MILLY MILLY, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,18990131.0,"+,,a",,,,,,,,,0.0,",,a,31,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,ASN00007131,1907-08,-26.95,117.5,,"MINDOOLAH, AS",,,,,4.0,",a",3.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19070809.0,"+,,a",,,,,,,,,3.0,",,a,09,+",,,,,,,9.5,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,ASN00007132,1750-03,-25.0964,117.5922,472.0,"MOUNT CLERE, AS",,,,,0.0,"2,a",0.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500331.0,"+,2,a",,,,,,,,,0.0,"2,,a,31,+",,,,,,,0.0,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,ASN00007133,1914-06,-24.95,117.75,,"MOUNT EDGERTON, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19140630.0,"+,,a",,,,,,,,,0.0,",,a,30,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,ASN00007134,1750-03,-26.795,118.9842,500.0,"MURCHISON DOWNS, AS",,,,,2.0,"2,a",0.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500324.0,",2,a",,,,,,,,,2.4,"2,,a,24,",,,,,,,3.4,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,ASN00007135,1900-09,-28.2747,117.3919,350.0,"MURRUM STATION, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19000930.0,"+,,a",,,,,,,,,0.0,",,a,30,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,ASN00007136,1915-09,-27.2,118.0,,"LAKE VIEW DOWNS, AS",,,,,4.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19150923.0,",,a",,,,,,,,,1.8,",,a,23,",,,,,,,5.1,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,ASN00007137,1885-01,-26.3028,116.8789,370.0,"NOOKAWARRA, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,18850131.0,"+,,a",,,,,,,,,0.0,",,a,31,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,ASN00007139,1750-03,-29.2708,117.6836,339.0,"PAYNES FIND, AS",,,375.6,"2,a",3.0,"2,a",2.0,"2,a",0.0,"2,a",,,,,0.0,"2,a",0.0,"2,a",0.0,"2,a",29.0,"2,a",25.0,"2,a",17500305.0,",2,a",,,,,,,17500325.0,",2,a",17500320.0,",2,a",17.3,"2,a,05,",,,,,16.2,"2,,a,25,",46.8,"2,a,20,",,,0.0,"2,a",19.8,"2,,,a",,,31.28,"2,a",39.76,"2,,,a",22.81,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,ASN00007140,1910-05,-27.65,117.6,,"RPF TWO 64 MILE, AS",,,,,4.0,",a",4.0,",a",1.0,",a",,,,,,,,,,,,,,,,,,,,,,,19100514.0,",,a",,,,,,,,,64.8,",,a,14,",,,,,,,99.6,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,ASN00007141,1898-09,-29.3,116.9,,"ROTHESAY, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,18980930.0,"+,,a",,,,,,,,,0.0,",,a,30,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,ASN00007142,2004-02,-25.97,118.6233,520.0,"CASHMAN, AS",,,,,6.0,",a",2.0,",a",2.0,",a",,,,,,,,,,,,,,,,,,,,,,,20040213.0,",,a",,,,,,,,,28.0,",,a,13,",,,,,,,62.8,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,ASN00007143,1903-11,-28.5,116.5,,"WAGGA WAGGA, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19031130.0,"+,,a",,,,,,,,,0.0,",,a,30,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,ASN00007144,1918-06,-29.0,117.0,,"WARRIDAH, AS",,,,,7.0,",a",5.0,",a",1.0,",a",,,,,,,,,,,,,,,,,,,,,,,19180615.0,",,a",,,,,,,,,26.9,",,a,15,",,,,,,,70.9,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,ASN00007145,1917-02,-29.1,117.0,,"WARRIEDAR, AS",,,,,1.0,",a",1.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19170227.0,",,a",,,,,,,,,4.1,",,a,27,",,,,,,,4.1,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,ASN00007146,1911-02,-28.3831,117.6817,400.0,"WOGARNO, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19110228.0,"+,,a",,,,,,,,,0.0,",,a,28,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,ASN00007147,1916-06,-27.55,118.0167,,"YARRAQUIN, AS",,,,,8.0,",a",5.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19160613.0,",,a",,,,,,,,,20.6,",,a,13,",,,,,,,43.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,ASN00007148,1907-01,-26.25,116.6,,"YEDDERADDA, AS",,,,,1.0,",a",1.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19070115.0,",,a",,,,,,,,,10.7,",,a,15,",,,,,,,10.7,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,ASN00007149,1964-06,-26.5942,118.4883,501.0,"MEEKATHARRA, AS",,,,,7.0,",a",3.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19640611.0,",,a",,,,,,,,,24.6,",,a,11,",,,,,,,35.6,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,ASN00007150,1966-01,-27.6467,117.8592,450.0,"MURRALEE, AS",,,,,1.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19660102.0,",,a",,,,,,,,,0.3,",,a,02,",,,,,,,0.3,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,ASN00007151,1965-12,-23.3683,119.7314,544.0,"NEWMAN, AS",,,372.6,",a",4.0,",a",0.0,",a",0.0,",a",,,,,0.0,",a",0.0,",a",0.0,",a",31.0,",a",30.0,",a",19651207.0,",,a",,,,,,,19651210.0,",,a",19651231.0,",,a",16.9,",a,07,",,,,,2.3,",,a,10,",43.6,",a,31,",,,0.0,",a",5.4,",,,a",,,30.35,",a",37.79,",,,a",22.92,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,ASN00007152,1966-10,-24.7103,119.6069,700.0,"KUMARINA, AS",,,,,2.0,",a",2.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19661022.0,",,a",,,,,,,,,21.6,",,a,22,",,,,,,,24.1,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,ASN00007153,1968-05,-23.5531,119.1478,620.0,"PRAIRIE DOWNS, AS",,,,,4.0,",a",3.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19680506.0,",,a",,,,,,,,,17.8,",,a,06,",,,,,,,31.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,ASN00007154,1963-01,-27.9369,118.1889,400.0,"WYNYANGOO, AS",,,,,10.0,",a",7.0,",a",2.0,",a",,,,,,,,,,,,,,,,,,,,,,,19630128.0,",,a",,,,,,,,,35.1,",,a,28,",,,,,,,107.4,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,ASN00007155,1968-03,-26.1317,118.6833,500.0,"KARALUNDI, AS",,,,,7.0,",a",7.0,",a",2.0,",a",,,,,,,,,,,,,,,,,,,,,,,19680325.0,",,a",,,,,,,,,41.9,",,a,25,",,,,,,,124.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,ASN00007156,1910-05,-27.9578,116.3383,400.0,"TARDIE STATION, AS",,,,,5.0,",a",4.0,",a",2.0,",a",,,,,,,,,,,,,,,,,,,,,,,19100506.0,",,a",,,,,,,,,60.5,",,a,06,",,,,,,,105.9,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,ASN00007157,1913-01,-27.7744,117.0156,450.0,"DALGARANGA, AS",,,,,2.0,",a",2.0,",a",1.0,",a",,,,,,,,,,,,,,,,,,,,,,,19130104.0,",,a",,,,,,,,,33.0,",,a,04,",,,,,,,49.5,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,ASN00007158,1968-09,-27.6167,118.9333,,"INGLEWOOD, AS",,,,,3.0,",a",3.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19680909.0,",,a",,,,,,,,,6.6,",,a,09,",,,,,,,15.7,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,ASN00007159,1750-03,-27.5486,118.2172,450.0,"YARRAQUIN, AS",,,,,2.0,"2,a",2.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500325.0,",2,a",,,,,,,,,15.5,"2,,a,25,",,,,,,,23.0,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,ASN00007160,1968-01,-26.2628,119.7639,500.0,"PAROO, AS",,,,,5.0,",a",5.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19680127.0,",,a",,,,,,,,,5.1,",,a,27,",,,,,,,18.3,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,ASN00007161,1936-09,-25.4636,117.1361,450.0,"ERRABIDDY, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19360930.0,"+,,a",,,,,,,,,0.0,",,a,30,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,ASN00007162,1926-04,-25.58,117.7567,500.0,"TRILBAR, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19260430.0,"+,,a",,,,,,,,,0.0,",,a,30,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,ASN00007164,1907-01,-23.7639,116.1197,400.0,"EDMUND, AS",,,,,1.0,",a",1.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19070113.0,",,a",,,,,,,,,2.5,",,a,13,",,,,,,,2.5,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,ASN00007165,1969-09,-24.9483,118.7147,540.0,"MINGAH SPRINGS, AS",,,,,1.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19690912.0,",,a",,,,,,,,,0.5,",,a,12,",,,,,,,0.5,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,ASN00007166,1911-05,-28.35,116.55,,"JOHARDO, AS",,,,,3.0,",a",1.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19110521.0,",,a",,,,,,,,,9.9,",,a,21,",,,,,,,10.7,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,ASN00007167,1911-01,-28.15,116.6167,,"RPF TWO 115 MILE, AS",,,,,2.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19110131.0,",,a",,,,,,,,,1.8,",,a,31,",,,,,,,2.3,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,ASN00007168,1921-12,-29.0675,117.7572,400.0,"OUDABUNNA, AS",,,,,3.0,",a",3.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19211213.0,",,a",,,,,,,,,16.0,",,a,13,",,,,,,,23.1,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,ASN00007169,1971-02,-23.1017,119.3678,670.0,"RHODES RIDGE, AS",,,,,4.0,",a",4.0,",a",2.0,",a",,,,,,,,,,,,,,,,,,,,,,,19710204.0,",,a",,,,,,,,,124.5,",,a,04,",,,,,,,166.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,ASN00007170,1909-04,-23.2167,116.5,,"YIRRIGULLY, AS",,,,,7.0,",a",7.0,",a",3.0,",a",,,,,,,,,,,,,,,,,,,,,,,19090406.0,",,a",,,,,,,,,114.3,",,a,06,",,,,,,,256.5,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,ASN00007171,1915-11,-28.5167,116.6333,,"RPF 40 MILE, AS",,,,,1.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19151117.0,",,a",,,,,,,,,0.5,",,a,17,",,,,,,,0.5,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,ASN00007172,1913-01,-23.4,119.7833,,"MINDEROO, AS",,,,,5.0,",a",4.0,",a",1.0,",a",,,,,,,,,,,,,,,,,,,,,,,19130104.0,",,a",,,,,,,,,52.1,",,a,04,",,,,,,,80.8,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,ASN00007173,1923-08,-28.5833,116.8667,,"GNOWS NEST, AS",,,,,9.0,",a",2.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19230826.0,",,a",,,,,,,,,4.1,",,a,26,",,,,,,,13.5,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,ASN00007174,1907-05,-28.7,116.9333,,"GOLDEN GROVE, AS",,,,,4.0,",a",1.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19070526.0,",,a",,,,,,,,,6.9,",,a,26,",,,,,,,10.2,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,ASN00007175,1914-11,-26.4667,118.4667,,"GARDEN GULLY, AS",,,,,5.0,",a",4.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19141128.0,",,a",,,,,,,,,22.9,",,a,28,",,,,,,,46.1,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,ASN00007176,1750-03,-23.4169,119.7989,524.0,"NEWMAN AERO, AS",,,456.1,"2,a",1.0,"2,a",0.0,"2,a",0.0,"2,a",,,,,0.0,"2,a",0.0,"2,a",0.0,"2,a",29.0,"2,a",29.0,"2,a",17500311.0,",2,a",,,,,,,17500302.0,",2,a",17500317.0,",2,a",20.5,"2,a,11,",,,,,0.4,"2,,a,02,",44.0,"2,a,17,",,,0.0,"2,a",0.4,"2,,,a",,,34.06,"2,a",41.97,"2,,,a",26.16,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,ASN00007177,1750-03,-23.6042,117.6892,450.0,"MININER, AS",,,,,0.0,"2,a",0.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500331.0,"+,2,a",,,,,,,,,0.0,"2,,a,31,+",,,,,,,0.0,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,ASN00007178,1971-12,-23.2028,117.6692,391.0,"PARABURDOO, AS",,,,,1.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19711213.0,",,a",,,,,,,,,0.5,",,a,13,",,,,,,,0.5,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,ASN00007179,1750-03,-24.4114,118.9408,550.0,"TANGADEE, AS",,,,,0.0,"2,a",0.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500331.0,"+,2,a",,,,,,,,,0.0,"2,,a,31,+",,,,,,,0.0,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,ASN00007180,1750-03,-25.0386,120.0064,600.0,"MARYMIA, AS",,,,,1.0,"2,a",1.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500327.0,",2,a",,,,,,,,,2.6,"2,,a,27,",,,,,,,2.6,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,ASN00007181,1750-03,-23.9775,120.0108,580.0,"WEELARRANA, AS",,,,,1.0,"2,a",0.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500324.0,",2,a",,,,,,,,,1.4,"2,,a,24,",,,,,,,1.4,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,ASN00007184,1973-08,-28.1183,117.83,407.0,"MOUNT MAGNET AERO, AS",,,,,10.0,",a",3.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19730826.0,",,a",,,,,,,,,19.6,",,a,26,",,,,,,,40.8,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,ASN00007185,1750-03,-23.1725,117.7494,423.7,"PARABURDOO AERO, AS",,,521.3,"2,a",1.0,"2,a",0.0,"2,a",0.0,"2,a",,,,,0.0,"2,a",0.0,"2,a",0.0,"2,a",29.0,"2,a",29.0,"2,a",17500312.0,",2,a",,,,,,,17500315.0,",2,a",17500317.0,",2,a",23.4,"2,a,12,",,,,,1.0,"2,,a,15,",46.9,"2,a,17,",,,0.0,"2,a",1.2,"2,,,a",,,36.31,"2,a",44.27,"2,,,a",28.35,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,ASN00007186,1969-01,-25.565,116.6653,500.0,"ERONG, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19690131.0,"+,,a",,,,,,,,,0.0,",,a,31,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,ASN00007187,1974-03,-28.2,118.0333,,"MOOLA EAST, AS",,,,,2.0,",a",2.0,",a",1.0,",a",,,,,,,,,,,,,,,,,,,,,,,19740303.0,",,a",,,,,,,,,68.2,",,a,03,",,,,,,,79.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,ASN00007190,1974-05,-29.3892,117.8281,335.0,"MARANALGO, AS",,,,,5.0,",a",3.0,",a",1.0,",a",,,,,,,,,,,,,,,,,,,,,,,19740525.0,",,a",,,,,,,,,42.0,",,a,25,",,,,,,,63.8,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,ASN00007191,1975-03,-23.4531,119.7994,532.0,"CAPRICORN ROADHOUSE, AS",,,,,11.0,",a",9.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19750331.0,",,a",,,,,,,,,10.6,",,a,31,",,,,,,,58.8,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,ASN00007192,1975-12,-27.3161,117.97,450.0,"NALLAN, AS",,,,,2.0,",a",2.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19751209.0,",,a",,,,,,,,,14.0,",,a,09,",,,,,,,20.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,ASN00007193,1750-03,-27.0503,117.6503,450.0,"GLEN STATION, AS",,,,,2.0,"2,a",2.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500324.0,",2,a",,,,,,,,,13.0,"2,,a,24,",,,,,,,24.0,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,ASN00007194,1983-01,-27.0722,119.2522,500.0,"YOUNO DOWNS, AS",,,,,1.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19830126.0,",,a",,,,,,,,,2.0,",,a,26,",,,,,,,2.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,ASN00007195,1750-03,-26.0783,116.1533,300.0,"BYRO, AS",,,,,0.0,"2,a",0.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500331.0,"+,2,a",,,,,,,,,0.0,"2,,a,31,+",,,,,,,0.0,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,ASN00007196,1986-01,-25.7361,116.9181,500.0,"YUNDA STATION, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19860131.0,"+,,a",,,,,,,,,0.0,",,a,31,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,ASN00007197,1750-03,-28.2817,118.3111,400.0,"CHALLA, AS",,,,,2.0,"2,a",1.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500325.0,",2,a",,,,,,,,,13.4,"2,,a,25,",,,,,,,15.4,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,ASN00007198,1929-07,-29.5,118.5,,"EAROO, AS",,,,,4.0,",a",1.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19290727.0,",,a",,,,,,,,,3.8,",,a,27,",,,,,,,8.9,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,ASN00007199,1991-09,-25.3106,119.4481,570.0,"PLUTONIC PLANT SITE, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19910930.0,"+,,a",,,,,,,,,0.0,",,a,30,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
