,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,AWND,AWND_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES
906,CA008104928,1985-04,47.15,-67.8333,242.0,"ST LEONARD A, NB CA",12.0,",C",7.0,",C",0.0,",C",2.0,",C",19850401.0,",,C",19850430.0,",,C",44.0,",,C,01,",20.0,",,C,30,",79.2,",,,C",176.0,",,,C",,,0.0,",C",23.0,",C",0.0,",C",24.0,",C",6.0,",C",0.0,",C",0.0,",C",19850414.0,",,C",19850406.0,",,C",19850426.0,",,C",-15.5,",C,14,",300.0,",,C,06,",18.0,",C,26,",,,534.3,",C",0.52,",C",5.97,",,,C",-4.92,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,CA008104933,1919-07,47.4667,-67.4667,242.0,"ST QUENTIN, NB CA",,,,,,,0.0,",C",19190731.0,"+,,C",,,0.0,",,C,31,+",,,,,0.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,CA008104935,2006-01,45.2167,-67.25,26.0,"ST. STEPHEN, NB CA",13.0,",C",8.0,",C",1.0,",C",,,,,20060114.0,",,C",,,41.2,",,C,14,",102.8,",,,C",,,0.0,C,0.0,",C",,,1.0,",C",30.0,",C",16.0,",C",0.0,",C",0.0,",C",20060108.0,",,C",,,20060114.0,",,C",-17.9,",C,08,",,,13.7,",C,14,",,,667.9,",C",-3.21,",C",1.75,",,,C",-8.17,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,CA008104936,1898-02,45.1833,-67.2667,11.0,"ST STEPHEN, NB CA",14.0,",C",11.0,",C",3.0,",C",9.0,",C",18980223.0,",,C",18980223.0,",,C",460.0,",,C,23,",46.0,",,C,23,",154.2,",,,C",1161.0,",,,C",,,0.0,",C",,,3.0,",C",26.0,",C",11.0,",C",0.0,",C",0.0,",C",18980204.0,",,C",,,18980226.0,",,C",-30.0,",C,04,",,,5.0,",C,26,",,,651.4,",C",-4.93,",C",0.1,",,,C",-9.96,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,CA008104937,1993-04,45.2167,-67.25,26.0,"ST STEPHEN AUT, NB CA",,,,,,,,,,,,,,,,,,,,,,,0.0,"5,C",,,0.0,"5,C",16.0,"5,C",3.0,"5,C",0.0,"5,C",0.0,"5,C",19930406.0,",5,C",,,19930421.0,",5,C",-8.1,"5,C,06,",,,19.3,"5,C,21,",,,349.8,"5,C",4.34,"5,C",9.9,"5,,,C",-1.22,"5,,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,CA008104938,1966-01,45.7167,-65.7,61.0,"SEARSVILLE, NB CA",13.0,",C",7.0,",C",0.0,",C",7.0,",C",19660128.0,",,C",19660128.0,",,C",147.0,",,C,28,",14.7,",,C,28,",64.5,",,,C",627.0,",,,C",0.0,C,0.0,",C",,,3.0,",C",29.0,",C",22.0,",C",0.0,",C",0.0,",C",19660106.0,",,C",,,19660101.0,",,C",-18.9,",C,06,",,,7.8,",C,01,",,,722.8,",C",-4.98,",C",-1.75,",,,C",-8.21,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,CA008104944,1933-10,46.2333,-64.5333,61.0,"SHEDIAC, NB CA",12.0,",C",10.0,",C",4.0,",C",0.0,",C",19331031.0,"+,,C",19331025.0,",,C",0.0,",,C,31,+",70.6,",,C,25,",259.4,",,,C",0.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,CA008104950,1956-09,45.2,-66.1333,24.0,"SHELDON POINT, NB CA",8.0,",C",7.0,",C",1.0,",C",0.0,",C",19560930.0,"+,,C",19560917.0,",,C",0.0,",,C,30,+",27.9,",,C,17,",95.3,",,,C",0.0,",,,C",,,,,,,,,,,0.0,"3,C",2.0,"3,C",0.0,"3,C",,,,,19560905.0,"+,3,C",,,,,24.5,"3,C,05,+",,,,,,,15.78,"3,,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,CA008104975,1969-05,47.75,-64.7167,4.0,"SHIPPEGAN, NB CA",12.0,",C",9.0,",C",0.0,",C",0.0,",C",19690531.0,"+,,C",19690520.0,",,C",0.0,",,C,31,+",17.8,",,C,20,",76.3,",,,C",0.0,",,,C",,,0.0,",C",,,0.0,",C",8.0,",C",0.0,",C",1.0,",C",0.0,",C",19690524.0,",,C",,,19690517.0,",,C",-2.8,",C,24,",,,25.0,",C,17,",,,341.0,",C",7.33,",C",12.23,",,,C",2.44,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,CA008105000,1953-09,47.2667,-67.25,279.0,"SISSON DAM, NB CA",6.0,",C",4.0,",C",0.0,",C",0.0,",C",19530930.0,"+,,C",19530914.0,",,C",0.0,",,C,30,+",19.3,",,C,14,",45.5,",,,C",0.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,CA008105042,1983-09,47.8667,-67.9333,274.0,"SOUTH BRANCH KEDGWICK, NB CA",12.0,",C",7.0,",C",1.0,",C",0.0,",C",19830930.0,"+,,C",19830922.0,",,C",0.0,",,C,30,+",28.0,",,C,22,",78.3,",,,C",0.0,",,,C",,,14.3,",C",,,0.0,",C",7.0,",C",0.0,",C",8.0,",C",0.0,",C",19830916.0,"+,,C",,,19830906.0,"+,,C",-2.5,",C,16,+",,,29.5,",C,06,+",,,189.6,",C",12.49,",C",18.78,",,,C",6.2,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,CA008105058,1983-06,47.5833,-65.9,183.0,"SOUTH TETAGOUCHE, NB CA",5.0,",C",1.0,",C",1.0,",C",0.0,",C",19830630.0,"+,,C",19830618.0,",,C",0.0,",,C,30,+",38.6,",,C,18,",44.8,",,,C",0.0,",,,C",,,28.5,"1,C",0.0,",C",0.0,"1,C",1.0,"1,C",0.0,",C",18.0,",C",2.0,",C",19830610.0,",1,C",19830630.0,"+,,C",19830622.0,",,C",0.0,"1,C,10,",0.0,",,C,30,+",33.0,",C,22,",,,93.4,",C",16.07,"1,C",23.27,",,,C",8.88,"1,,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,CA008105065,1973-09,44.6,-66.9,49.0,"SOUTHWEST HEAD, NB CA",9.0,",C",5.0,",C",0.0,",C",0.0,",C",19730930.0,"+,,C",19730906.0,",,C",0.0,",,C,30,+",23.6,",,C,06,",63.3,",,,C",0.0,",,,C",,,0.3,",C",,,0.0,",C",0.0,",C",0.0,",C",2.0,",C",0.0,",C",19730925.0,"+,,C",,,19730903.0,",,C",6.1,",C,25,+",,,23.9,",C,03,",,,165.5,",C",12.83,",C",15.54,",,,C",10.11,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,CA008105100,1947-11,47.7833,-68.3333,412.0,"SUMMIT DEPOT, NB CA",7.0,"2,C",7.0,"2,C",1.0,"2,C",7.0,",C",19471124.0,",,C",19471124.0,",2,C",457.0,",,C,24,",45.7,"2,,C,24,",117.5,",a,,C",901.0,",,,C",,,0.0,"1,C",,,2.0,"1,C",26.0,"1,C",11.0,",C",0.0,",C",0.0,",C",19471129.0,"+,1,C",,,19471102.0,",,C",-17.8,"1,C,29,+",,,13.9,",C,02,",,,572.4,",C",-1.41,"1,C",2.41,",,,C",-5.22,"1,,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,CA008105200,1897-10,45.7167,-65.5333,21.0,"SUSSEX, NB CA",4.0,",C",3.0,",C",0.0,",C",0.0,",C",18971031.0,"+,,C",18971031.0,",,C",0.0,",,C,31,+",9.1,",,C,31,",27.4,",,,C",0.0,",,,C",,,0.0,",C",,,0.0,",C",20.0,",C",0.0,",C",2.0,",C",0.0,",C",18971031.0,"+,,C",,,18971013.0,",,C",-6.7,",C,31,+",,,22.8,",C,13,",,,348.6,",C",7.09,",C",14.19,",,,C",-0.02,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,CA008105202,1939-07,45.7167,-65.5167,21.0,"SUSSEX 2, NB CA",8.0,",C",5.0,",C",0.0,",C",0.0,",C",19390731.0,"+,,C",19390714.0,",,C",0.0,",,C,31,+",21.1,",,C,14,",59.7,",,,C",0.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,CA008105300,1952-05,47.9833,-66.8167,38.0,"TIDE HEAD, NB CA",15.0,",C",8.0,",C",0.0,",C",0.0,",C",19520501.0,",,C",19520507.0,",,C",0.0,",T,C,01,",22.6,",,C,07,",96.3,",,,C",0.0,",T,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,CA008105302,1972-08,47.9667,-66.7667,18.0,"TIDE HEAD, NB CA",12.0,",C",9.0,",C",0.0,",C",0.0,",C",19720831.0,"+,,C",19720807.0,",,C",0.0,",,C,31,+",20.3,",,C,07,",70.1,",,,C",0.0,",,,C",,,6.7,"3,C",0.0,",C",0.0,"3,C",0.0,"3,C",0.0,"2,C",16.0,"2,C",0.0,"2,C",19720815.0,",3,C",19720831.0,"+,,C",19720801.0,",2,C",3.9,"3,C,15,",0.0,",,C,31,+",27.2,"2,C,01,",,,81.0,"2,C",15.66,"3,C",21.38,"2,,,C",9.94,"3,,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,CA008105400,1953-12,46.7833,-67.6833,91.0,"TOBIQUE NARROWS, NB CA",,,,,,,,,,,,,,,,,,,,,,,0.0,"1,C",,,3.0,"1,C",26.0,"1,C",8.0,"1,C",0.0,"1,C",0.0,"1,C",19531230.0,",1,C",,,19531207.0,"+,1,C",-27.2,"1,C,30,",,,10.0,"1,C,07,+",,,663.2,"1,C",-3.77,"1,C",1.45,"1,,,C",-8.99,"1,,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,CA008105500,1946-06,45.3167,-67.2167,168.0,"TOWER HILL CDA, NB CA",6.0,"3,C",2.0,"3,C",1.0,"3,C",0.0,"3,C",19460630.0,"+,3,C",19460618.0,",3,C",0.0,"3,,C,30,+",31.0,"3,,C,18,",40.3,"3,,,C",0.0,"3,,,C",,,25.6,"3,C",,,0.0,"3,C",0.0,"3,C",0.0,"3,C",18.0,"3,C",2.0,"3,C",19460619.0,",3,C",,,19460627.0,",3,C",1.1,"3,C,19,",,,33.9,"3,C,27,",,,82.3,"3,C",16.23,"3,C",23.51,"3,,,C",8.96,"3,,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,CA008105505,1970-05,47.5167,-64.9167,15.0,"TRACADIE, NB CA",13.0,",C",7.0,",C",0.0,",C",0.0,",C",19700531.0,"+,,C",19700503.0,",,C",0.0,",,C,31,+",10.2,",,C,03,",45.3,",,,C",0.0,",,,C",,,2.2,",C",,,0.0,",C",4.0,",C",0.0,",C",4.0,",C",0.0,",C",19700502.0,",,C",,,19700530.0,"+,,C",-1.7,",C,02,",,,26.7,",C,30,+",,,259.5,",C",10.04,",C",14.72,",,,C",5.35,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,CA008105518,1965-11,45.9167,-64.8,142.0,"TURTLE CREEK, NB CA",6.0,"2,C",5.0,"2,C",1.0,"2,C",2.0,"1,C",19651123.0,",1,C",19651117.0,",2,C",152.0,"1,,C,23,",25.9,"2,,C,17,",79.5,"2,,,C",299.0,"1,,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,CA008105520,1964-07,46.0,-64.9,46.0,"TURTLE CREEK, NB CA",5.0,"1,C",5.0,"1,C",1.0,"1,C",0.0,",C",19640731.0,"+,,C",19640719.0,",1,C",0.0,",,C,31,+",33.0,"1,,C,19,",69.6,"1,,,C",0.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,CA008105540,1962-06,46.6333,-65.8667,23.0,"UPPER BLACKVILLE, NB CA",,,,,,,0.0,",C",19620630.0,"+,,C",,,0.0,",,C,30,+",,,,,0.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,CA008105546,1971-10,46.6167,-67.6167,183.0,"UPPER HOLMESVILLE, NB CA",7.0,",C",6.0,",C",0.0,",C",0.0,",C",19711031.0,"+,,C",19711013.0,",,C",0.0,",,C,31,+",15.5,",,C,13,",60.1,",,,C",0.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,CA008105550,1919-09,47.85,-66.85,49.0,"UPSALQUITCH, NB CA",,,,,,,0.0,",C",19190930.0,"+,,C",,,0.0,",,C,30,+",,,,,0.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,CA008105551,1967-10,47.45,-66.4167,625.0,"UPSALQUITCH LAKE, NB CA",,,,,,,0.0,",C",19671031.0,"+,,C",,,0.0,",,C,31,+",,,,,0.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,CA008105560,1970-06,45.4667,-66.3333,23.0,"WELSFORD, NB CA",10.0,",C",9.0,",C",1.0,",C",0.0,",C",19700630.0,"+,,C",19700626.0,",,C",0.0,",,C,30,+",33.8,",,C,26,",108.0,",,,C",0.0,",,,C",,,0.0,",C",,,0.0,",C",1.0,",C",0.0,",C",17.0,",C",0.0,",C",19700614.0,",,C",,,19700609.0,",,C",-0.6,",C,14,",,,28.3,",C,09,",,,108.1,",C",14.73,",C",20.81,",,,C",8.65,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,CA008105568,1970-06,45.9167,-66.0,15.0,"WIGGINS POINT, NB CA",12.0,",C",9.0,",C",2.0,",C",0.0,",C",19700630.0,"+,,C",19700627.0,",,C",0.0,",,C,30,+",32.8,",,C,27,",134.1,",,,C",0.0,",,,C",,,7.0,",C",,,0.0,",C",0.0,",C",0.0,",C",19.0,",C",0.0,",C",19700614.0,",,C",,,19700610.0,"+,,C",2.8,",C,14,",,,28.3,",C,10,+",,,80.1,",C",15.9,",C",21.7,",,,C",10.09,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,CA008105569,1979-12,47.8167,-68.2333,434.0,"WILD GOOSE RIVER, NB CA",18.0,",C",15.0,",C",0.0,",C",14.0,",C",19791226.0,",,C",19791226.0,",,C",170.0,",,C,26,",17.0,",,C,26,",121.0,",,,C",1115.0,",,,C",,,0.0,",C",,,9.0,",C",31.0,",C",25.0,",C",0.0,",C",0.0,",C",19791220.0,",,C",,,19791212.0,"+,,C",-31.0,",C,20,",,,5.0,",C,12,+",,,847.8,",C",-9.02,",C",-4.19,",,,C",-13.84,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,CA008105580,1912-10,46.3333,-66.7167,322.0,"WILLIAMSBURG, NB CA",13.0,",C",9.0,",C",1.0,",C",0.0,",C",19121031.0,"+,,C",19121026.0,",,C",0.0,",,C,31,+",66.3,",,C,26,",183.6,",,,C",0.0,",,,C",,,0.0,",C",,,0.0,",C",11.0,",C",0.0,",C",2.0,",C",0.0,",C",19121021.0,",,C",,,19121007.0,",,C",-3.9,",C,21,",,,23.9,",C,07,",,,369.0,",C",6.43,",C",11.05,",,,C",1.81,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,CA008105595,1976-11,45.6667,-65.15,305.0,"WOLFE LAKE, NB CA",4.0,",C",4.0,",C",0.0,",C",0.0,",C",19761129.0,"+,,C",19761128.0,",,C",5.0,",,C,29,+",17.3,",,C,28,",51.3,",,,C",10.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,CA008105597,1993-07,45.6667,-65.15,305.0,"WOLFE LAKE CS, NB CA",18.0,",C",10.0,",C",0.0,",C",,,,,19930720.0,",,C",,,11.6,",,C,20,",71.7,",,,C",,,,,22.9,",C",0.0,",",0.0,",C",0.0,",C",0.0,",C",22.0,",C",0.0,",C",19930719.0,",,C",19930731.0,"+,,C",19930708.0,",,C",1.1,",C,19,",0.0,",,C,31,+",31.5,",C,08,",63.2,C,63.2,",C",17.03,",C",23.04,",,,C",11.02,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,CA008105600,1886-11,46.1667,-67.55,153.0,"WOODSTOCK, NB CA",8.0,",C",6.0,",C",2.0,",C",1.0,",C",18861125.0,",,C",18861118.0,",,C",51.0,",,C,25,",38.1,",,C,18,",98.1,",,,C",51.0,",,,C",,,0.0,"4,C",,,0.0,"4,C",23.0,"4,C",3.0,"4,C",0.0,"4,C",0.0,"4,C",18861129.0,",4,C",,,18861101.0,",4,C",-12.2,"4,C,29,",,,15.0,"4,C,01,",,,460.4,"4,C",0.63,"4,C",4.69,"4,,,C",-3.44,"4,,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,CA008105605,1964-10,46.15,-67.5667,32.0,"WOODSTOCK GRAFTON, NB CA",10.0,"1,C",8.0,"1,C",0.0,"1,C",0.0,",C",19641030.0,",,C",19641021.0,",1,C",0.0,",T,C,30,",22.9,"1,,C,21,",86.5,"1,,,C",0.0,",T,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,CA00810AL00,1983-08,47.35,-68.1833,163.0,"EDMUNDSTON, NB CA",7.0,"3,C",5.0,"3,C",0.0,"3,C",0.0,",C",19830831.0,"+,,C",19830826.0,",3,C",0.0,",,C,31,+",16.6,"3,,C,26,",54.5,"3,,,C",0.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,CA00810D9BC,1972-03,45.2833,-66.0833,31.0,"SAINT JOHN MILLEDGEVILLE, NB CA",16.0,",C",12.0,",C",0.0,",C",9.0,",C",19720331.0,",,C",19720322.0,",,C",203.0,",,C,31,",21.8,",,C,22,",136.5,",,,C",637.0,",,,C",,,0.0,",C",,,2.0,",C",28.0,",C",13.0,",C",0.0,",C",0.0,",C",19720310.0,",,C",,,19720317.0,",,C",-21.1,",C,10,",,,10.6,",C,17,",,,684.7,",C",-3.75,",C",1.15,",,,C",-8.65,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,CA00810D9KN,1971-06,45.2167,-66.1833,61.0,"SAINT JOHN SPRUCE LAKE, NB CA",7.0,",C",4.0,",C",0.0,",C",0.0,",C",19710630.0,"+,,C",19710603.0,",,C",0.0,",,C,30,+",21.3,",,C,03,",54.4,",,,C",0.0,",,,C",,,0.0,",C",,,0.0,",C",0.0,",C",0.0,",C",9.0,",C",0.0,",C",19710606.0,",,C",,,19710622.0,",,C",1.7,",C,06,",,,24.4,",C,22,",,,148.9,",C",13.37,",C",18.64,",,,C",8.1,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,CA00810I001,2001-09,47.15,-67.8333,245.0,"ST LEONARD CS, NB CA",9.0,"1,C",8.0,"1,C",0.0,"1,C",,,,,20010925.0,",1,C",,,17.6,"1,,C,25,",81.0,"1,,,C",,,,,16.4,",C",,,0.0,",C",4.0,",C",0.0,",C",8.0,",C",0.0,",C",20010930.0,",,C",,,20010909.0,",,C",-2.2,",C,30,",,,31.1,",C,09,",,,163.6,",C",13.43,",C",19.63,",,,C",7.23,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,CA00810JAE0,1987-11,45.9167,-65.8167,15.0,"COLES ISLAND, NB CA",11.0,",C",5.0,",C",1.0,",C",1.0,",C",19871112.0,",,C",19871130.0,",,C",28.0,",,C,12,",27.0,",,C,30,",71.7,",,,C",44.0,",,,C",,,0.0,",C",1.0,",C",0.0,",C",24.0,",C",3.0,",C",0.0,",C",0.0,",C",19871129.0,",,C",19871113.0,",,C",19871117.0,",,C",-12.5,",C,29,",30.0,",,C,13,",17.0,",C,17,",,,505.2,",C",1.49,",C",5.68,",,,C",-2.7,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,CA00810JL00,1979-12,47.3667,-68.2833,198.0,"EDMUNDSTON, NB CA",13.0,",C",10.0,",C",0.0,",C",10.0,",C",19791224.0,",,C",19791224.0,",,C",130.0,",,C,24,",13.0,",,C,24,",69.0,",,,C",690.0,",,,C",,,0.0,",C",,,9.0,",C",31.0,",C",16.0,",C",0.0,",C",0.0,",C",19791220.0,",,C",,,19791225.0,",,C",-32.0,",C,20,",,,10.0,",C,25,",,,785.8,",C",-7.02,",C",-2.05,",,,C",-11.98,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,CA00810M937,1987-11,44.65,-66.8333,20.0,"SEAL COVE, NB CA",,,,,,,2.0,"1,C",19871126.0,",1,C",,,262.0,"1,,C,26,",,,,,300.0,"1,,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,CA00810MRBE,1973-01,45.3167,-66.0833,107.0,"SAINT JOHN UNB, NB CA",4.0,",C",4.0,",C",2.0,",C",2.0,",C",19730105.0,",,C",19730101.0,",,C",147.0,",,C,05,",69.9,",,C,01,",136.6,",,,C",172.0,",,,C",0.0,,0.0,"4,C",,,7.0,"2,C",27.0,"2,C",13.0,"2,C",0.0,"2,C",0.0,"2,C",19730109.0,",2,C",,,19730123.0,",2,C",-22.8,"2,C,09,",,,13.3,"2,C,23,",,,657.8,"2,C",-5.86,"4,C",-0.98,"2,,,C",-10.73,"2,,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,CA00810N002,2000-06,45.9,-66.1167,16.0,"SCOTCHTOWN, NB CA",11.0,",C",7.0,",C",0.0,",C",0.0,",C",20000630.0,"+,,C",20000608.0,",,C",0.0,",,C,30,+",12.0,",,C,08,",59.1,",,,C",0.0,",,,C",,,14.4,"1,C",0.0,",C",0.0,"1,C",0.0,"1,C",0.0,"1,C",20.0,"1,C",0.0,"1,C",20000612.0,",1,C",20000630.0,"+,,C",20000626.0,",1,C",1.0,"1,C,12,",0.0,",,C,30,+",32.0,"1,C,26,",,,88.6,"1,C",15.78,"1,C",22.62,"1,,,C",8.93,"1,,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
