,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES
773,LQW00020604,1962-03,5.88333,-162.08333,2.1,"PALMYRA ISLAND LINE ISLANDS, UM LQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,LT002073370,1913-01,-30.12,28.7,1970.0,"QACHA S NEK, LT",,,,,15.0,",I",12.0,",I",1.0,",I",,,,,,,,,,,,,,,,,19130101.0,",,I",,,,,,,62.2,",,I,01,",,,,,,,141.0,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,LT002334390,1920-07,-29.82,27.25,1610.0,"MAFETENG, LT",,,,,1.0,",I",0.0,",I",0.0,",I",,,,,,,,,,,,,,,,,19200709.0,",,I",,,,,,,0.5,",,I,09,",,,,,,,0.5,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,LT002638590,1886-09,-29.3,27.5,1539.0,"MASERU, LT",,,,,1.0,",I",1.0,",I",0.0,",I",,,,,,,,,,,,,,,,,18860928.0,",,I",,,,,,,18.3,",,I,28,",,,,,,,18.3,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,LT002970830,1915-11,-28.88,28.05,1740.0,"LERIBE, LT",,,,,15.0,",I",8.0,",I",2.0,",I",,,,,,,,,,,,,,,,,19151116.0,",,I",,,,,,,43.2,",,I,16,",,,,,,,158.9,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,LU000006590,1947-01,49.6258,6.2033,376.0,"LUXEMBOURG AIRPORT, LU",0.0,E,0.0,",E",11.0,",E",5.0,",E",0.0,",E",,,0.0,",E",24.0,",E",17.0,",E",0.0,",E",0.0,",E",19470129.0,"+,,E",,,19470111.0,",,E",19470116.0,",,E",-14.8,",E,29,+",,,8.6,",,E,11,",9.8,",E,16,",,,661.0,",E",33.4,",,,E",-2.99,",E",-0.59,",,,E",-5.39,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,LUE00100944,1954-01,49.74,6.32,391.0,"ALTRIER, LU",,,,,19.0,",E",7.0,",E",0.0,",E",,,,,,,,,,,,,,,,,19540113.0,",,E",,,,,,,6.9,",,E,13,",,,,,,,42.6,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,LUE00100945,1954-01,49.85,5.87,416.0,"ARSDORF, LU",,,,,16.0,",E",10.0,",E",0.0,",E",,,,,,,,,,,,,,,,,19540113.0,",,E",,,,,,,23.7,",,E,13,",,,,,,,80.5,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,LUE00100946,1954-01,49.51,5.93,340.0,"BELVAUX, LU",,,,,15.0,",E",7.0,",E",0.0,",E",,,,,,,,,,,,,,,,,19540113.0,",,E",,,,,,,11.3,",,E,13,",,,,,,,52.6,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,LUE00100947,1954-01,49.8,5.94,300.0,"BETTBORN PRATZ, LU",,,,,14.0,",E",9.0,",E",0.0,",E",,,,,,,,,,,,,,,,,19540113.0,",,E",,,,,,,12.0,",,E,13,",,,,,,,58.7,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,LUE00100948,1954-01,49.73,5.97,295.0,"CALMUS, LU",,,,,14.0,",E",5.0,",E",0.0,",E",,,,,,,,,,,,,,,,,19540113.0,",,E",,,,,,,12.5,",,E,13,",,,,,,,40.2,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,LUE00100949,1954-01,50.05,6.03,465.0,"CLERVAUX HAUTBELLAIN, LU",,,,,16.0,",E",9.0,",E",0.0,",E",,,,,,,,,,,,,,,,,19540120.0,",,E",,,,,,,23.8,",,E,20,",,,,,,,93.3,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,LUE00100950,1954-01,49.83,6.21,250.0,"ERMSDORF, LU",,,,,14.0,",E",9.0,",E",0.0,",E",,,,,,,,,,,,,,,,,19540113.0,",,E",,,,,,,11.3,",,E,13,",,,,,,,51.6,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,LUE00100951,1954-01,49.9,6.03,488.0,"KEHMEN DIEKIRCH, LU",,,,,12.0,",E",6.0,",E",0.0,",E",,,,,,,,,,,,,,,,,19540110.0,",,E",,,,,,,10.1,",,E,10,",,,,,,,46.5,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,LUE00100952,1954-01,49.67,5.95,266.0,"KOERICH, LU",,,,,15.0,",E",8.0,",E",0.0,",E",,,,,,,,,,,,,,,,,19540113.0,",,E",,,,,,,11.3,",,E,13,",,,,,,,49.9,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,LUE00100953,1954-01,49.7,6.14,237.0,"LORENTZWEILER, LU",,,,,15.0,",E",7.0,",E",0.0,",E",,,,,,,,,,,,,,,,,19540113.0,",,E",,,,,,,10.5,",,E,13,",,,,,,,43.9,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,LY000062124,1961-12,27.02,14.45,432.0,"SEBHA, LY",,,,,0.0,"4,I",0.0,"4,I",0.0,"4,I",,,,,,,,,,,,,,,,,19611231.0,"+,4,I",,,,,,,0.0,"4,,I,31,+",,,,,,,0.0,"4,,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,LY000062131,1956-01,29.12,15.95,267.0,"HON, LY",0.0,I,0.0,"3,I",0.0,",I",0.0,",I",0.0,",I",,,0.0,"1,I",6.0,"1,I",0.0,"2,I",12.0,"2,I",0.0,"2,I",19560131.0,"+,1,I",,,19560131.0,"+,,I",19560110.0,",2,I",-1.1,"1,I,31,+",,,0.0,",,I,31,+",24.4,"2,I,10,",,,190.3,"2,I",0.0,",,,I",11.53,"3,I",20.24,"2,,,I",2.82,"1,,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,LY000062271,1956-01,24.22,23.3,436.0,"KUFRA, LY",0.0,I,0.0,"2,I",0.0,"1,I",0.0,"1,I",0.0,"1,I",,,0.0,"2,I",0.0,"2,I",0.0,",I",14.0,",I",0.0,",I",19560118.0,"+,2,I",,,19560131.0,"+,1,I",19560107.0,",,I",1.7,"2,I,18,+",,,0.0,"1,,I,31,+",28.9,",I,07,",,,144.9,",I",0.0,"1,,,I",13.28,"2,I",21.46,",,,I",5.09,"2,,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,LYE00147740,1932-01,31.87,10.98,621.0,"NALUT, LY",,,,,,,,,,,,,0.0,",",2.0,",E",,,,,,,19320102.0,",,E",,,,,,,-2.5,",E,02,",,,,,,,,,,,,,,,,,3.18,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,LYE00147741,1920-01,32.88,12.08,3.0,"ZUARA, LY",0.0,E,0.0,",E",4.0,",E",1.0,",E",0.0,",E",,,0.0,",E",0.0,",E",0.0,",E",2.0,",E",0.0,",E",19200127.0,",,E",,,19200131.0,",,E",19200105.0,",,E",2.4,",E,27,",,,5.8,",,E,31,",23.8,",E,05,",,,199.0,",E",9.9,",,,E",11.91,",E",17.04,",,,E",6.79,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,LYE00147742,1916-01,32.8697,13.22,25.0,"TRIPOLI SIDI EL MESRI, LY",0.0,,0.0,",E",7.0,",E",2.0,",E",1.0,",E",,,0.0,",E",0.0,",E",0.0,",E",0.0,",E",0.0,",E",19160120.0,",,E",,,19160112.0,",,E",19160129.0,",,E",2.2,",E,20,",,,65.0,",,E,12,",21.0,",E,29,",,,192.1,",E",71.4,",,,E",12.14,",E",16.61,",,,E",7.66,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,LYE00147743,1925-02,32.9,13.18,25.0,"TRIPOLI CITY, LY",,,5.3,",E",9.0,",E",5.0,",E",0.0,",E",,,0.0,",E",0.0,",E",0.0,",E",4.0,",E",0.0,",E",19250202.0,"+,,E",,,19250208.0,",,E",19250216.0,"+,,E",6.8,",E,02,+",,,19.8,",,E,08,",27.3,",E,16,+",,,128.6,",E",45.2,",,,E",13.93,",E",18.14,",,,E",9.72,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,LYE00147744,1943-03,32.67,13.15,81.0,"TRIPOLI AIRPORT, LY",,,27.9,",E",5.0,",E",3.0,",E",0.0,",E",,,0.0,",E",0.0,",E",0.0,",E",8.0,",E",2.0,",E",19430305.0,"+,,E",,,19430319.0,",,E",19430329.0,"+,,E",6.1,",E,05,+",,,23.1,",,E,19,",35.0,",E,29,+",,,100.0,",E",36.3,",,,E",16.0,",E",20.57,",,,E",11.44,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,LYE00147745,1925-07,32.4097,15.05,32.0,"MISURATA, LY",,,248.1,"2,E",0.0,",E",0.0,",E",0.0,",E",,,0.0,"1,E",0.0,"1,E",0.0,"2,E",29.0,"2,E",7.0,"2,E",19250702.0,",1,E",,,19250731.0,"+,,E",19250728.0,",2,E",18.8,"1,E,02,",,,0.0,",,E,31,+",43.4,"2,E,28,",0.0,E,0.0,"2,E",0.0,",,,E",26.93,"2,E",31.09,"2,,,E",22.77,"1,,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,LYE00147746,1925-08,31.2,16.5797,13.0,"SIRTE, LY",,,,,0.0,",E",0.0,",E",0.0,",E",,,0.0,",E",0.0,",E",,,,,,,19250807.0,",,E",,,19250831.0,"+,,E",,,19.0,",E,07,",,,0.0,",,E,31,+",,,,,,,0.0,",,,E",,,,,22.52,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,LYE00147747,1944-07,32.08,20.27,132.0,"BENGHAZI BENINA, LY",,,238.2,",E",1.0,",E",0.0,",E",0.0,",E",,,0.0,",E",0.0,",E",0.0,",E",31.0,",E",14.0,",E",19440714.0,",,E",,,19440716.0,",,E",19440710.0,",,E",16.7,",E,14,",,,0.5,",,E,16,",37.8,",E,10,",0.0,E,0.0,",E",0.5,",,,E",26.02,",E",31.78,",,,E",20.25,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,LYE00147748,1922-11,32.07,20.07,322.0,"BENGHAZI RAGMA, LY",,,9.8,",E",14.0,",E",12.0,",E",1.0,",E",,,0.0,",E",0.0,",E",0.0,",E",7.0,",E",0.0,",E",19221129.0,",,E",,,19221111.0,",,E",19221102.0,"+,,E",8.1,",E,29,",,,31.3,",,E,11,",26.3,",E,02,+",,,99.6,",E",131.6,",,,E",15.34,",E",18.48,",,,E",12.2,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,LYE00147749,1924-01,30.72,20.17,7.0,"AGEDABIA, LY",,,,,9.0,",E",5.0,",E",0.0,",E",,,,,,,,,,,,,,,,,19240108.0,",,E",,,,,,,15.9,",,E,08,",,,,,,,47.8,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,LYE00147750,1921-01,32.7997,21.88,648.0,"SHAHAT, LY",0.0,E,0.0,",E",7.0,",E",6.0,",E",4.0,",E",,,0.0,",E",0.0,",E",0.0,",E",0.0,",E",0.0,",E",19210113.0,",,E",,,19210122.0,",,E",19210102.0,",,E",2.7,",E,13,",,,60.0,",,E,22,",14.7,",E,02,",,,319.1,",E",192.0,",,,E",8.04,",E",11.73,",,,E",4.35,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,LYE00147751,1928-01,32.76,22.66,10.0,"DERNA, LY",0.0,E,0.0,",E",,,,,,,,,0.0,",E",0.0,",E",0.0,",E",3.0,",E",0.0,",E",19280110.0,",,E",,,,,19280102.0,",,E",7.4,",E,10,",,,,,24.0,",E,02,",,,122.2,",E",,,14.39,",E",19.05,",,,E",9.74,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,LYM00062008,1991-02,32.083,12.55,691.0,"YEFREN, LY",,,,,2.0,"5,S",0.0,"5,S",0.0,"5,S",,,,,,,,,,,,,,,,,19910224.0,"+,5,S",,,,,,,2.0,"5,,S,24,+",,,,,,,4.0,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,LYM00062012,1991-02,32.633,14.3,22.0,"EL KHOMS, LY",,,,,3.0,"5,S",1.0,"5,S",0.0,"5,S",,,,,,,,,,,,,,,,,19910203.0,",5,S",,,,,,,23.1,"5,,S,03,",,,,,,,24.6,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,LYM00062014,2007-07,31.733,14.017,259.0,"BENWLID, LY",,,,,,,,,,,,,0.0,"5,S",0.0,"5,S",,,,,,,20070715.0,",5,S",,,,,,,18.0,"5,S,15,",,,,,,,,,,,,,,,,,21.12,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,LYM00062018,2007-07,30.567,15.717,90.0,"ABU NJAYM, LY",,,,,,,,,,,,,,,,,0.0,"5,S",26.0,"5,S",26.0,"5,S",,,,,,,20070702.0,",5,S",,,,,,,43.5,"5,S,02,",,,,,,,,,37.08,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,LYM00062062,1987-02,32.1,23.933,51.0,"TOBRUK, LY",,,,,,,,,,,,,0.0,"5,S",0.0,"5,S",,,,,,,19870211.0,",5,S",,,,,,,6.5,"5,S,11,",,,,,,,,,,,,,,,,,10.68,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,LYM00062103,1961-09,30.152,9.715,342.0,"GHADAMES EAST, LY",,,223.9,"1,S",0.0,"1,S",0.0,"1,S",0.0,"1,S",,,0.0,"1,S",0.0,"1,S",0.0,"1,S",29.0,"1,S",28.0,"1,S",19610917.0,",1,S",,,19610930.0,"+,1,S",19610911.0,"+,1,S",13.9,"1,S,17,",,,0.0,"1,,S,30,+",37.8,"1,S,11,+",,,0.0,"1,S",0.0,"1,,,S",26.05,"1,S",34.85,"1,,,S",17.26,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,LYM00062120,1973-03,30.383,13.583,497.0,"GARIAT EL SHARGHIA, LY",,,,,,,,,,,,,,,,,0.0,"5,S",15.0,"5,S",0.0,"5,S",,,,,,,19730312.0,",5,S",,,,,,,32.0,"5,S,12,",,,,,,,,,21.65,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,LYM00062161,1956-01,29.033,21.567,60.0,"JALO, LY",0.0,S,0.0,",S",0.0,",S",0.0,",S",0.0,",S",,,0.0,",S",0.0,",S",0.0,",S",14.0,",S",0.0,",S",19560131.0,"+,,S",,,19560131.0,"+,,S",19560121.0,"+,,S",3.3,",S,31,+",,,0.0,",,S,31,+",23.3,",S,21,+",,,154.0,",S",0.0,",,,S",13.37,",S",20.74,",,,S",6.0,",,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,LYM00062176,1956-01,29.75,24.533,-1.0,"GIGHBUB, LY",0.0,S,0.0,"2,S",0.0,",S",0.0,",S",0.0,",S",,,0.0,"2,S",0.0,"2,S",0.0,",S",8.0,",S",0.0,",S",19560131.0,",2,S",,,19560131.0,"+,,S",19560121.0,",,S",0.6,"2,S,31,",,,0.0,",,S,31,+",22.8,",S,21,",,,165.3,",S",0.0,",,,S",12.65,"2,S",19.3,",,,S",6.0,"2,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,LYM00062200,1993-09,26.6,12.783,463.0,"OBARI, LY",,,,,1.0,"5,S",1.0,"5,S",0.0,"5,S",,,,,,,,,,,,,,,,,19930916.0,",5,S",,,,,,,23.9,"5,,S,16,",,,,,,,23.9,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,LYM00062212,1992-02,25.146,10.143,699.8,"GHAT, LY",,,,,0.0,"4,S",0.0,"4,S",0.0,"4,S",,,,,,,,,,,,,,,,,19920229.0,"+,4,S",,,,,,,0.0,"4,,S,29,+",,,,,,,0.0,"4,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,LYM00062259,1962-12,25.8,21.133,261.0,"TAZERBO, LY",,,,,0.0,",S",0.0,",S",0.0,",S",,,,,,,0.0,"4,S",18.0,"4,S",1.0,"4,S",,,,,19621231.0,"+,,S",19621202.0,",4,S",,,,,0.0,",,S,31,+",32.2,"4,S,02,",,,,,0.0,",,,S",,,22.74,"4,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,LYW00033123,1949-01,32.9,13.28333,13.1,"WHEELUS, LY",0.0,X,0.0,",X",11.0,",X",8.0,",X",1.0,",X",0.0,",X",0.0,",X",0.0,",X",0.0,",X",3.0,",X",0.0,",X",19490107.0,",,X",19490131.0,"+,,X",19490114.0,",,X",19490103.0,",,X",5.0,",X,07,",0.0,",,X,31,+",42.9,",,X,14,",22.8,",X,03,",,,177.5,",X",104.5,",,,X",12.61,",X",16.75,",,,X",8.46,",,,X",0.0,",X",,,19490131.0,"+,,X",1.0,,0.0,",,X,31,+",0.0,",,,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,MA000067009,1977-08,-12.35,49.3,105.0,"ANTSIRANANA, MA",,,,,4.0,"5,I",2.0,"5,I",0.0,"5,I",,,0.0,"5,I",0.0,"5,I",,,,,,,19770831.0,"+,5,I",,,19770806.0,",5,I",,,19.0,"5,I,31,+",,,7.1,"5,,I,06,",,,,,,,15.2,"5,,,I",,,,,20.62,"5,,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,MA000067083,1977-08,-18.8,47.483,1276.0,"ANTANANARIVO IVATO, MA",,,,,1.0,"4,I",1.0,"4,I",0.0,"4,I",,,0.0,"2,I",0.0,"2,I",,,,,,,19770811.0,",2,I",,,19770808.0,",4,I",,,6.0,"2,I,11,",,,4.1,"4,,I,08,",,,,,,,4.1,"4,,,I",,,,,10.79,"2,,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,MA000067095,1977-02,-18.117,49.4,6.0,"TOAMASINA, MA",,,,,16.0,"5,I",14.0,"5,I",5.0,"5,I",,,,,,,,,,,,,,,,,19770222.0,",5,I",,,,,,,48.0,"5,,I,22,",,,,,,,269.1,"5,,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,MA000067143,1977-08,-21.2,48.367,6.0,"MANANJARY, MA",,,,,10.0,"5,I",9.0,"5,I",1.0,"5,I",,,,,,,,,,,,,,,,,19770814.0,",5,I",,,,,,,190.0,"5,,I,14,",,,,,,,264.0,"5,,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,MA000067161,1977-04,-23.383,43.733,8.0,"TOLIARA, MA",,,,,1.0,"5,I",1.0,"5,I",1.0,"5,I",,,,,,,,,,,,,,,,,19770406.0,",5,I",,,,,,,32.0,"5,,I,06,",,,,,,,32.0,"5,,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,MA000067197,1977-08,-25.033,46.95,9.0,"TAOLAGNARO, MA",,,,,8.0,"4,I",5.0,"4,I",0.0,"4,I",,,,,,,,,,,,,,,,,19770816.0,",4,I",,,,,,,17.0,"4,,I,16,",,,,,,,51.3,"4,,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,MAM00067012,1977-12,-13.312,48.315,11.0,"FASCENE, MA",,,,,18.0,"2,S",13.0,"2,S",5.0,"2,S",,,0.0,"2,S",0.0,"2,S",,,,,,,19771222.0,"+,2,S",,,19771207.0,",2,S",,,21.0,"2,S,22,+",,,55.1,"2,,S,07,",,,,,,,291.8,"2,,,S",,,,,22.62,"2,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,MAM00067017,1977-08,-13.376,50.003,5.8,"VOHIMARINA, MA",,,,,14.0,"5,S",8.0,"5,S",0.0,"5,S",,,,,,,,,,,,,,,,,19770807.0,",5,S",,,,,,,17.0,"5,,S,07,",,,,,,,87.4,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,MAM00067023,1977-09,-14.279,50.175,6.1,"SAMBAVA, MA",,,,,15.0,"5,S",8.0,"5,S",0.0,"5,S",,,,,,,,,,,,,,,,,19770909.0,",5,S",,,,,,,21.1,"5,,S,09,",,,,,,,73.4,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,MAM00067025,1977-09,-14.999,50.32,6.1,"ANTSIRABATO, MA",,,,,15.0,"5,S",10.0,"5,S",1.0,"5,S",,,,,,,,,,,,,,,,,19770909.0,",5,S",,,,,,,59.9,"5,,S,09,",,,,,,,114.2,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,MAM00067027,1977-08,-15.667,46.352,26.5,"PHILIBERT TSIRANANA, MA",,,,,2.0,"3,S",0.0,"3,S",0.0,"3,S",,,0.0,"5,S",0.0,"5,S",,,,,,,19770818.0,"+,5,S",,,19770809.0,",3,S",,,16.0,"5,S,18,+",,,2.0,"3,,S,09,",,,,,,,3.0,"3,,,S",,,,,18.92,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,MAM00067045,1985-11,-16.95,46.833,79.0,"MAEVATANANA, MA",,,,,,,,,,,,,,,,,0.0,"5,S",25.0,"5,S",23.0,"5,S",,,,,,,19851113.0,"+,5,S",,,,,,,37.4,"5,S,13,+",,,,,,,,,35.16,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
